Time(s),Voltage(V),Current(A)
0,0.00,0.000
1,0.12,0.025
2,0.23,0.046
3,0.35,0.066
4,0.47,0.081
5,0.58,0.093
6,0.70,0.100
7,0.82,0.102
8,0.93,0.101
9,1.05,0.098
10,1.17,0.094
11,1.28,0.089
12,1.40,0.082
13,1.52,0.073
14,1.63,0.063
15,1.75,0.052
16,1.87,0.041
17,1.98,0.030
18,2.10,0.018
19,2.22,0.009
20,2.33,0.000
40,2.35,0.000
60,2.36,0.000
80,2.37,0.000
100,2.37,0.000
120,2.38,0.000
140,2.38,0.000
160,2.38,0.000
180,2.38,0.000
200,2.38,0.000
220,2.38,0.000
240,2.38,0.000
260,2.38,0.000
280,2.38,0.000
300,2.38,0.000
